Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
"Hag, Bheur",Cold regions (Rashemen),Very rare,Solitary,Day or night,Carnivore,Very (11-12),Nil (D),Chaotic evil,1,-3,"12, fly 48 (A)",10,11,2,2d6/2d6,<i>Staff of frost</i>,See below,40%,M,Fanatic (17),"6,000"
"Hag, Sea, Greater",Any aquatic,Very rare,Solitary,Any,Carnivore,Very (11-12),"B,C,Y",Chaotic evil,1,5,Swim 15,8-Feb,19 (2 HD)<br>17 (3 &amp; 4 HD)<br>15 (5 &amp; 6 HD)<br>13 (7 &amp; 8 HD),1,1d4+6 (dagger or claw) or 1d6+6 (short sword),"Ogre strength (+3 to attack rolls, +6 damage), <i>charm gaze</i>, ghastly visage, spells","<i>Change self</i>, immune to charms, spells",50%,M (3' tall plus 3-foot tail),Champion (15),"2 Dice: 975<br>3 Hit Dice: 1,400<br>4 Hit Dice: 2,000<br>5 Hit Dice: 3,000<br>6 Hit Dice: 4,000<br>7 Hit Dice: 5,000<br>8 Hit Dice: 6,000"
Hakeashar,Alternate Prime Material Plane,Very Rare,Solitary,Any,Magic,Highly (13-14),Nil,Chaotic neutral,1,10,3,9,11,0,Nil,Absorb magic,See below,See below,L (12' diameter sphere),Elite (16),"2,000"
Hamadryad,"Temperate, subtropical/forest",Very rare,Solitary,Any,Water and sunlight,High (13-14),Nil,Neutral,45293,7,15,4,17,1,1-3 (pummel),See below,See below,75%,M (5-5½' tall),Steady (11-12),650
"Hamster, Giant Space",Temperate/Grassy plains and hills,Common to very rare,Small pack,Night,Omnivore,Animal (1),Nil,Neutral,See below,8,"9, Br 3 (hard earth)",4,17,1,8-Feb,Nil,Immune to disease,Nil,L (up to 9' long),Unsteady (6) (if wild: Average (9)),175
Handmaiden of Takhisis,Abyss or subterranean caverns,Unique,Solitary,Nocturnal,Carnivore,Supra-Genius (18),Nil,Chaotic evil,1,-7,"15, Cl 18",16 (128 hp),5,3 or 2,"5-11/5-11 (claws), 7-19 (bite)","Slow, paralysis, poison, magic",See below,5%,M or H (50'-long spider),Fearless (20),"85,000"
Harpy,"Temperate, tropical land or coast",Rare,Flock,Day,Carnivore,Low (5-7),R (C),Chaotic evil,2-12 (2d6),7,"6, Fl 15 (C)",7,13,3,1-3/1-3/1-6 or 1-3/1-3/weapon,Singing and <i>charm</i>,Nil,Nil,M (6'),Elite (13-14),975
Harrier,Jungle,Very rare,Solitary,Night,Carnivore (carrion),Low (5-7),Nil,Neutral evil,45293,6,"3, gliding 12",7+7,13,3,2-5/2-5/2-12,"Poison, rear claws 2-5 each","Camouflage, spell immunity",Nil,M (4' long),Fanatic (18),"4,000"
Harrla,Any urban area,Very rare,Solitary,Night,Life energy,Very (11-12),Nil,Chaotic evil,1,0,Fl 15 (A),4+3,15,0,Nil,Emotion control,See below,Nil,M (6' tall),Fearless (20),"5,000"
Haun,Arctic ice pack and glaciers,Very rare,Brood,Night,Scavenger,Exceptional (15-16),"Nil, W",Chaotic (evil),2-5 (1-4+1),10,6,½ (1-4 hp),20,1 bite,1d4,Psionics,Psionics,Nil,S (4' long),Average (8),175
Haundar,"Icebergs, arctic valleys",Rare,Solitary,Day,Carnivore,Animal (1),Nil,Neutral,1,2,"6, Fl 12 (D)",20,1,1 bite,2-16 (2d8),Spit acid,Nil,Nil,"G (30' long, 10' tall)",Elite (15),"12,000"
Haunt,Any,Very rare,Individual,Any,Nil,Non- (0),Nil,Any,1,0/victim's AC,6/as victim,5/victim's hp,15,"1/1, as 5-HD monster",See below/by weapon,See below,See below,Nil,Variable,Champion (16),"2,000"
"Haunt, Knight",Any/Battlefield,Very rare,Military,During Solinari full moon,Nil,Low (5-7),See below,Lawful good,45299,2 or better,9,8,13,2,1-8/1-8,Horror,Cannot be turned by LG clerics,10%,M (6' tall),Champion (16),"2,000"
Hell Hound,Any land,Very rare,Pack,Any,Carnivore,Low (5-7),C,Lawful evil,45330,4,12,7-Apr,4 HD: 17<br>5-6 HD: 15<br>7 HD: 13,1,10-Jan,Breathe fire,See below,Nil,M,Elite (13),"4 HD: 420<br>5 HD: 650<br>6 HD: 975<br>7 HD: 1,400"
Helmed Horror,Any,Rare,Special,Any,Nil,High (13-14),V,Neutral,1d20,2,"12, Fl 12 (E)",4+1 per level of the creator,12,1,1d4 or by weapon,Nil,See below,Special,M (6-7' tall),Special,"2,000"
Hendar,Desolate areas (temperate),Rare,Solitary,Night,"Omnivorous, but prefer meat",Average (8-10),"All possible, but no silver",Neutral (evil),1 (1-3),5,"6, Sw 18, Fl 15(C)",6+6,15,2,"2-8/1-3, or special",Drowning dive,Nil,Nil,L (14-22' wingspan),Fearless (18),975
"Hermit, Sea",Any coastal,Very rare,Solitary,Any,Omnivore,Genius (17-18),H,Neutral evil,1,0 (3),"6, Sw 12",10+5,9,2,2d8/2d8,Spell use,Nil,15%,G (40' long),Champion (15-16),"8,000"
Hero Spirits,Sacred mountains/tribal lands,Uncommon,,Any,Sacrifices,15,,Any lawful or good,1,0,12,10,11,2,By traditional weapon,Causes fear in all opponents of 3rd level or less (effects,"+3 or better to hit , plus see below",Nil,M,Fanatic (18),"5,000"
Heucuva,Any,Very rare,Solitary,Any,Nil,Semi- (2-4),C,Chaotic evil,45301,3,9,2,19,1,6-Jan,Disease,Hit only by silver or +1 weapons,See below,M (5-7' tall),Steady (11),270
Hippocampus,Fresh or salt water depths,Rare,Herd,Any,Herbivore,Average (8-10),Nil,Chaotic good,45330,5,Sw 24,4,17,1,4-Jan,Nil,Nil,Nil,H (18' long),Steady (11-12),120
Hippogriff,Unpopulated regions,Rare,Herd,Day,Omnivore,Semi- (2-4),Q&times;5,Neutral,45338,5,"18, Fl 36 (C,D)",3+3,17,3,1-6/1-6/1-10,Nil,Nil,Nil,L (10' long),Average (9),175
Hobgoblin,Any non-arctic,Uncommon,Tribal,Any,Omnivore,Average (8-10),"J,M,D; (Q&times;5)",Lawful evil,2-20 (2d10),5 (10),9,1+1,19,1,By weapon,Nil,Nil,Nil,M (6½' tall),Steady (11-12),35<br>Sub-chief: 65<br>Chief: 120
"Hobgoblin, Norker",Any/Non-arctic,Rare,Tribal,Any,Omnivore,Average (8-10),E,Chaotic evil,45381,3,9,1+2,19,2,1-6 (weapon)/1-3 (bite),Nil,Nil,Nil,S (4' tall),Steady (11-12),Normal: 35<br>Sub-chief: 65<br>Chief: 120
Homunculus,Any,Very rare,Solitary,Any,Omnivore,See below,Nil,See below,1,6,"6, Fl 18 (B)",2,19,1,3-Jan,Bite causes sleep,See below,See below,T (18&rdquo; tall),Elite (13-14),270
Hook Horror,Any/Subterranean,Rare,Clan,Any,Omnivore,Low (5-7),P,Neutral,45334,3,9,5,15,3,1-8/1-8/2-12,Nil,Nil,Nil,L (9' tall),Steady (11-12),175
Horax,Subterranean,Uncommon,Colony,Any,Carnivore,Animal (1),Nil (D),Neutral,3d10,3,15,4,17,1,2d8,"-1 initiative, crush",Nil,Nil,M (5-6' long),Average (10),270<br>Young: 15
Horgar,Any/Subterranean,Very rare,Solitary,Any,Rocks or earth,Semi (5-7),Nil,Neutral,1,-10 (head is AC 0),3,30 to 100,5,1,20-80,Squirt acid,Intense heat,Nil,G (30-100' long),Fearless (19-20),"30 HD: 26,000<br>(add 1,000/HD above 30)"
Horse,Any land,Very rare,Solitary,Any,Nil,Semi- (2),See below,Any neutral,1d10,4,15,5,15,3,1d6 (hoof)/1d6 (hoof)/1d4 (bite),Nil,See below,Nil,L (8' long),Fearless (20),650
"Horse, Moon-","Plains, meadows (Evermeet)",Rare,Herd,Day,Herbivore,Average.very (9-12),Nil,Chaotic Good,45432,7,18,4,17,2,1-8/1-8,Magic,Undead immunity,Nil,L,Champion (15),270
"Horse, Water-",Temperate coasts,Very rare,Solitary,Any,Carnivore,Semi- (2-4),W(Z),Chaotic evil,1,6,"28, Sw 20",5+3,15,2,2d6/1d8,See below,Nil,Nil,L,Average (8-10),650
Hound of Ill-Omen,Any,Very rare,Solitary,Any,Unknown,Non- (0),Nil,Neutral,1,10,48,1,20,0,Nil,Nil,Nil,Nil,M (5' at shoulder),Fearless (20),0
Hound of Law,Any,Very rare,Solitary or pack,Any,Carnivore,Average (8-10),Nil,Lawful neutral (Lawful good),1 or 1d6+1,6,Fl 18 (MC: A),8+2,13,"By form, see below","By form, see below","By form, see below","By form, see below",30%,T (1' globe),Fearless (19),"3,000"
"Hound, Yeth",Any land,Very rare,Pack,Night,Carnivore,Nil,Neutral evil,Low (5-7),45398,0,"15, F1 27 (B)",3+3,17,1,2d4,Fear,Silver or magical weapons to hit,10%,M (4&rdquo;-5' tall),Fearless (19-20),975
Human,,Common,,,,,Nil,Any,1-100,10,,1-6 hp,20,,,,,,,Average (9),15
"Human, Amazon",Any,Very rare,Clan,Day,Omnivore,Low to Genius (5-18),"M,Q (R,S,X)",Neutral,45442,By type,15,4 or more (d10),19,2,1d8 (weapon) or 1d6 (unarmed),"High Strength and dexterity (possible), specialization",Constitution (possible),Nil,M (6-7' tall),Elite (13-14),Variable
"Human, Dragonslayer",Any,Rare,Group,Any,Omnivore,High (13),"L,M,U",Any,45334,4 or better,12,2+,19 or better,1,By weapon,See below,See below,Nil,M (6-7' tall,Elite (13),"Slayer Warrior (2 HD): 270<br>Slayer Knight (7 HD): 5,000<br>Slayer Mage (5 HD): 4,000"
"Human, Pygmy",Jungle or tropical island,Uncommon,Village,Day,Omnivore,Average (8-10),Nil,Neutral,11-20 (village: 20-50),10 or better,9,1,20,1,By weapon,"Surprise, poison, missiles +2",Camouflage,Nil,S (3-4' tall),Average (8-10),35
"Human, Vistana",Any land,Very rare,Clan,Any,Omnivore,Average to Exceptional (9-16),"J,K,M (A)",Neutral,18384,6 (10),12,1,20,1,1d6 or by weapon,<i>Evil eye</i>,Prognostication,Nil,M (6' tall),Steady (11-12),15
Hurdu,"Temperate or tropical forest, mountains",Rare,Tribal,Day,Carnivore,Average (8-10),Nil,Lawful evil,3d6,6,12,2,18,1,"1d6, 1d8, or by weapon",Nil,Nil,Nil,L (7-8' tall),Elite (14),100<br>Chieftain: 250
Hybsil,"Any temperate forest, plains, or hills",Rare,Tribe,Day,Omnivore,Average to very (8-12),"I,K",Lawful good,1d6(1d8&times;8),7,15,1,19,1,By weapon,Sleep arrows,"+4 to all saving throws, immune to poison, limited thief abilities in forest terrain, <i>continual light</i>, <i>ventriloquism</i>, <i>pass without trace</i>",Nil,S (3' tall),Average (8-10),"420<br>Leader 4th: 1,400<br>Leader 5th: 2,000<br>Leader 6th: 3,000<br>Leader 7th: 4,000<br>Guard: 975<br>Ranger: 3,000"
Ibrandlin,Any land or subterranean,Very rare,Family/Pack (10% solitary),Any,Carnivore,Semi-(4),"Nil (except temple treasures, as guardian)",Lawful neutral,45299,3,9,10,11,5,1-8 (&times;4 claws)/2-16 (bite),Fire breath,Nil,40%,G (40'+ long),Special,"5,000"
Ice Vampire,Temperate and subtropical/Forest,Very rare,Solitary,Any,Special,Low (5-7),Incidental,Neutral evil,1,2,"12, Sw 18",6+6,13,1,8-Feb,"Magic, charm","+1 or better weapon to hit, immune to cold attacks, vampiric regeneration",40%,Variable,Champion (15),"2,000"
"Iguana, Giant",Temperate and subtropical/Forests,Rare,Solitary,Night,Omnivore,Animal (1),Nil,Neutral,1 or 2-12,6,12,6+2,15,1 bite,8-Feb,Swallows whole,Nil,Nil,L (8-10' long),Average (8-10),420
Illithocyte,Subpenumbra: The Nethermost,Common,Mass,Any,Psychosphere radiation,Animal (1),Nil,Neutral,3d10,6,6,4,17,4 (tentacles),1 (&times;4),Nil,¼ damage from acid,25%,S (4' long),Elite (14),420
Imp,Any,Very rare,Solitary,Any,Carnivore,Average (8-10),O,Lawful evil,1,2,"6, Fl 18 (A)",2+2,19,1,4-Jan,See below,See below,25%,T (2' tall),Average (8-10),"1,400"
"Imp, Blood Sea",Tropical and subtropical ocean,Very rare,School,Night,Special,Very (11),E,Chaotic evil,14885,4 or 1 (in mist form),"12, F124 (A), SW 6",5+3,15,1,1-6 or 1,Nil,Hit only by magical weapons,See below,T (2' tall),Steady (11),975
"Imp, Chaos",Limbo or any,Rare,Swarm,Any,Unknown,Average (8-10),Nil,Chaotic neutral,45334,3,12,3,17,1,Nil,Chaos,Nil,Nil,T (2' tall),Fearless (19),175
Ingundi,Temperate/Forests,Very rare,Solitary,Night,Carnivore,Low (5-7),D,Chaotic evil,1,6,6,3+2,17,"2 claws, 1 bite",1-6/1-6/1-12,Spells,Nil,Nil,M (5-6' tall),Average (10),420
Inquisitor,Urban/subterranean,Very rare,Solitary,Night,Omnivore,High (13-14),W,Lawful evil,1,4,9,6,15,2,1-4/1-6,"Disease, fear, paralysis, torture",Spell immunity,Nil,M (6' tall),Fanatic (17-18),"3,000"
"Intellect Devourer, Larva (Ustilagor)","Dark, moist areas",Rare,Solitary,During Darkness,Emotions,Not ratable,Q (x1d20),Neutral (evil),45294,5,9,3+3,17,1,1d4+1 (save vs. poison or double),Psionics,Psionics,Nil (See below),T (Brain sized),Unsteady (5-7),650
Invisible Stalker,Any,Very rare,Solitary,Any,Special,High (13-14),Nil,Neutral,1,3,"12, Fl 12 (A)",8,13,1,4-16 (4d4),Surprise,Invisibility,30%,L (8' tall),Elite (13-14),"3,000"
Ixitxachitl,Shallow tropical waters,Very rare,Tribe,Day,Carnivore,Average to high (6-14),"P,R,S",Chaotic evil,5-12 (4+1d8),6,Sw 12,1+1,19,1,3-12 (1d10+2),See below,Nil,Nil,S-L (3-8' diameter),Elite (13),35<br>1+1 HD cleric: 65<br>2+2 HD cleric: 175<br>3+3 HD guard: 270<br>4+4 HD leader: 420<br>2+2 HD vampire: 270
"Ixitxachitl, Ixzan",Underdark lakes,Very rare,Tribal,Any (day),Omnivore,High to Genius (13-18),"Nil (P,R,S)",Chaotic evil,3-10 (1d8+2) or 20-101 (9d10+11) in lair,4,"3, swim 12",1+1 to 6+6,"1+1, 2+2 HD: 19<br>3+3 HD 17<br>4+4, 5+5 HD 15<br>6+6 HD 13",1 (2),1+1 to 3+3 HD 2d4 (+1d8)<br>4+4 to 6+6 HD 3d4 (+1d10),Nil (see below),"Half damage from blunt weapons (unless +3 or above), +4 saving throw bonus against illusions and Elemental Water",Nil,1+1 to 3+3 HD M (5' wingspan)<br>4+4 to 6+6 HD L (7-10' wingspan),Champion (16),1+1 HD 65<br>2+2 HD 120<br>3+3 HD 175<br>4+4 HD 270<br>5+5 Hi3 420<br>6+6 HD 650+ (see below)
Jabberwock,Forest,Unique?,Solitary,Any,Carnivore,Semi- (4),Incidental,Neutral,1,-10,"15, fly 15 (C)",15 (99 hp),5,1,3d10,"<i>Burble</i>, eyebeams, fear aura, grasp, flurry attack",Immune to non-vorpal weapons,80%,"G (30' body, 25' tail)",Fearless (20),"25,000"
Jackal,Warm plains and deserts,Common,Pack,Night,Scavenger,Semi- (2-4),Nil,Neutral,45297,7,12,½ (1-4 hp),20,1,2-Jan,Nil,Nil,Nil,S (3' long),Unreliable (2-4),7
Jackalwere,Any temperate,Rare,Pack,Any,Carnivore,Very (11-12),C,Chaotic evil,45295,4,12,4,17,1,2-8 (2d4),Gaze causes sleep,Hit only by iron and +1 or better magical weapons,Nil,S (3' long) as a jackal<br>M (6' tall) as a human or hybrid,Steady (11-12),270
Jammer Leech,Any,Rare,Solitary or cluster,Any,Parasite,Semi- (2-4),Nil,Neutral,45295,3,1,3,17,1,See below,Spells,See below,25%,S (1' high),Steady (11-12),650
Jarbo,Any/Desert,Common,Flock/colony,Varies (usually night),Herbivore,Animal (1),Nil,Neutral,1d20,7,24,½ (1d4 hp),20,1,1d3,Nil,Nil,Nil,T (2' tall),Unreliable (2-4),7
"Jellyfish, Giant",Tropical ocean,Uncommon,Solitary,Day,Carnivore,Non- (0),Nil,Neutral,45301,9,1,1 to 4,1-2 HD: 19<br>3-4 HD: 17,1,1d10,Paralyzation,Transparent,Nil,S to L (2½-10'),Average to Steady (8-12),1 HD: 65<br>2 HD: 120<br>3 HD: 175<br>4 HD: 270
Kalin,Subterranean,Uncommon,Solitary or mated pair,Any,Carnivore,Animal (1),Nil,Lawful neutral,45297,5,"18, Cl 9",7,13,3,1-10/1-10/2-12,Grapple,Nil,Nil,L (12' long),Fanatic (18),650
Kalmari,Any,Very rare: Rare in Acheron,Solitary,Any,Carnivore,Average,Nil,Lawful evil,1,-6,6,3+3,17,2,1d10/1d6,"Swallow, entangle",+2 or better weapons to hit; Slain only by consumed & rejected magical item,100%,M,Champion (16),"2,000"
Kalothagh,Any/Ocean,Uncommon,School,Any,Carnivore,Low (5-7),Q (&times;3),Neutral,45334,7,Sw 12,4+4,15,1 or 4,1-2 or 1-6 (&times;4),Shoots spines,See below,Nil,L (12' long),Average (10),270
Kani Doll,Rural societies of any terrain or climate,Rare,,As per the enchantment,,Non- (0),Nil,Chaotic evil,45334,10,9,2,19,1,4-Jan,Continuous attacks,Nil,Nil,T (6&rdquo; tall),Fearless (never checks),35
Kech,Tropical to subartic/forests,Rare,Band,Night,Carnivore,Average (8-10),B,Neutral evil,45330,4,15 (6 climbing),5,15,3,2-5/2-5/1-6,See below,Camouflage,Nil,M (6' tall),Steady (11-12),650
Kelpie,Temperate or tropical/Saltwater,Very rare,Solitary,Any,Photosynthesis,Low-Average (5-10),D,Neutral evil,45295,3,"9, Sw 12",5,15,Nil,Nil,See below,See below,Nil,M (6-7' tall),Elite (13),420
Kender,"Tropical subtropical, and temperate/Plains, forests, jungles, hills, and mountains",Rare,Family,Any,Omnivore,Varies (6.18),"Varies (typical individual: O,X; typical lair: P,M,Q,X)","Varies, but usually lawful or chaotic neutral",45311,8 (10),6 (9),1,19,1,1-6 or by weapon,See below,See below,See below,S (3-4' tall),Fearless (20),Varies
Kenku,Any land,Uncommon,Clan,Any,Omnivore,Average (8-10),F,Neutral,45330,5,"6, Fl 18 (D)",5-Feb,2 HD: 19<br>3-4 HD: 17<br>5 HD: 15,3 or 1,1-4/1-4/1-6 or by weapon,Nil,See below,30%,M (5-7' tall),Elite (13),2 HD: 175<br>3 HD: 420<br>4 HD: 650<br>5 HD: 975
Kercpa,Temperate forest,Rare,Tribe,Day,Herbivore,Average to High (8-14),Nil,Neutral to Chaotic good,45363,3,"9, Cl 15",1,19,1 weapon or 3 bow,1d3,"Surprise (-5), +4 with bows","Surprised only on 1, save as 7 HD (Dex 19 bonus); dodge missiles",Nil,T (1-1½' tall),Steady (12); with elves Elite (14),1 HD: 65<br>2 HD: 120<br>3 HD: 175<br>4 HD: 270<br>Shaman 1-4: 175<br>Shaman 5th: 270<br>Wizard: +1 HD
Kholiathra,"Forests, elven lands",Very rare,Group,Any,Herbivore,Average (10),Nil,Neutral good,45297,0,Fl 24 (A),3+3,17,1,1d6,Bad luck,Invisibility,25%,M (6' tall),Average (8),650
Killmoulis,Human areas,Uncommon,Solitary,Nocturnal,"Omnivore, scavenger",Average (8-10),K,Neutral (chaotic good),45294,6,15,½,20,Nil,Nil,See below,See below,20%,Tiny (under 1' tall),Average (8-10),35
Ki-rin,Sky,Very rare,Solitary,Any,Herbivore,Supra-genius (19-20),"I,S,T",Lawful good,1,-5,"24, Fl 48 (B)",12,9,3,2-8/2-8/3-18,Magic use,See below,90%,H (13' long),Fanatic (18),"11,000"
Kirre,Forest ridge,Rare,Pack,Day,Carnivore,Low (5-7),Nil (A),Neutral,1,7,15,6+6,13,7,1-4/1-4/1-6/1-8/1-4/1-4/1-6,Psionics,Nil,Nil,Large (8' long),Elite (13-14),650
Kobold,Any land,Uncommon,Tribe,Night,Omnivore,Average (8-10),"J,O (Q&times;5)",Lawful evil,5-20 (5d4),7 (10),6,½ (1-4 hit points),20,1,1-4 or 1-6 (by weapon),Nil,Nil,Nil,S (3' tall),Average (8-10),7<br>Chiefs/guards: 15
"Kobold, Dragon Mountain",Subterranean,Uncommon,Clan,Any,Omnivore,Average (8-10),"J,O (Q&times;5)",Lawful evil,45432,7 (10),6,½ (1-4 hp),20,1,1-4 or 1-6 (by weapon),Nil,Nil,Nil,S (3' tall),Average (10),7<br>Chiefs/Guards: 15<br>Shamans/Witchdoctors: 35
Korred,Temperate forest and sylvan settings,Very rare,Clan,Any,Omnivore,Very (11-12),E,Chaotic neutral,45295,5,9,6+1,15,1,3-6 (1d2+4) or by weapon +4,See below,See below,25%,S (3' tall),Elite (13-14),"1,400"
Kreel,The Last Sea,Uncommon,School,Day,Herbivore,Animal (1),Nil,Neutral,2-20 (1-4 in the wild),7,Sw 12,3,18,1,6-Jan,Nil,Nil,Nil,M (4-6' long),Unsteady (7),65
Krotter,"Ice Spires, arctic",Uncommon,Herd,Any,Herbivore,Animal (1),,Neutral,4d10,3,6,4,17,3,1d4/1d4/1-3,Stampede,,Nil,L (6' at shoulder),Average (10),80
Kuo-Toa,Aquatic subterranean,Very rare,Tribal,Night,Carnivore,High and up (13+),"L,M,N (Z)",Neutral evil (with chaotic tendencies),45346,4,"9, Sw 18",2 or more,19,1 or 2,2-5 and/or by weapon type,See below,See below,See below,M (higher levels L),Elite (13),"Normal: 175<br>Captain: 3,000<br>Lieutenant: 1,400<br>Whip: 420<br>Monitor: 975"
Kupuk,Arctic (Great Glacier),Rare,Solitary or pack,Any,Carnivore,Semi- (2-4),Nil,Neutral,1 or 4-16 (4d4),4,"9, Sw 15",5,15,3 or 1,1-4/1-4/1-8 or 1-12,Tail strike,See below,See below,M (6' long),Champion (16),420
Kyrie,Tropical and subtropical Mountains,Very rare,Flock,Any,Omnivore,Average (8-10),B,Neutral,45334,5,"6, Fl 18 (B)",4,17,1,1-6 or by weapon,Spells,Nil,25%,M (7' tall),Steady (11),"1,400"
Kyton,Any (Baator),Rare,Solitary,Any,Carnivore,Low (5),See below,Lawful evil,-7,2,12,8,13,2,1d10/1d10,Chain snag,See below,25%,M (6' tall),Fanatic (17),"6,000"
"Kyuss, Son of",Ruins or subterranean,Very rare,Group,Any,Living beings,Low (5-7),1 with type Q (25%),Chaotic evil,45294,10,9,4,17,1,1d8,"Fear, disease, worms",Regeneration,Nil,M (5-6' tall),Champion (15-16),"1,400"
Laerti,Temperate dry,Rare,Tribe,Night,Omnivore,Very (11-12),O (D),Lawful evil,17685,5,"18, Br 8",3+3,17,3,1d2 &times;2 (or by weapon)/1d6 (bite),Nil,Nil,Nil,-15,"M (7' tall, 9' tail)",120
Lakshu,Any,Very rare,Division,Mainly day,Omnivore,Very (11-12),Nil,Neutral,45342,0 (7),12,5,See below,One by weapon and by shakti,By weapon and by shakti,Shakti,Shakti,20%,M (5'6&rdquo;-6' tall),Fanatic (17-18),"2,000"
Lamia,"Deserts, caves, and ruined cities",Very rare,Solitary,Any,Carnivore,High (13-14),D,Chaotic evil,1,3,24,9,11,1,1-4 (weapon),See below,Nil,Nil,M,Elite (14),"3,000"
Laraken,Swamp,Very Rare,Solitary,Any,Magic,Low (5-7),Nil,Neutral Evil,1,6,12,15,5,1 + absorbtion,2-5 (1d4+1),"Drain magic, spell use",See below,Special,L (10' diameter sphere),Champion (15-16),"15,000"
Leprechaun,"Temperate/Green lands, sylvan glens",Uncommon,Clans,Any,Omnivore,Exceptional (15-16),F,Neutral,45311,8,15,2-5 hp,20,0,Nil,See below,See below,80%,T (2' tall),Steady (11),270
Leucrotta,"Temperate/ Wasteland, broken terrain",Rare,Pack,Any,Carnivore,Average (8-10),D,Chaotic evil,45295,4,18,6+1,15,1,18-Mar,See below,Kick in retreat,Nil,"L (7' at shoulder, 9' long)",Elite (14),975
"Leucrotta, Greater",Any,Very rare,Solitary,Any,Omnivore,Very (11-12),"Nil (D,Q&times;3)",Neutral evil,45294,4,"18, or as current form",8,13,1; see below,3d6; see below,See below,See below,10%,M or L (variable),Champion (15),"2,000"
Lhiannan Shee,Subarctic to tropical woodlands,Very rare,Solitary,Night,Special,Average to very (8-12),"K,M,N,U",Neutral evil,1,8 in darkness; 5 in strong firelight or <i>light</i> spell; 2 in sunlight or <i>continual light</i> spell,12,5,15,1,Special,"Charm touch, draining kiss","Selective invisibility, various spell immunities, struck only by +1 or better weapons",90%,M,"Special (always flees if attacked, but returns later)","4,000"
"Lich, Psionic",Ravenloft or Athas,Very rare,Solitary,Night,Psionic energy,Supra-genius (19-20),A,Any evil,1,0,6,9+18,11,1,1d8+2,"Psionics, mind strike, &amp; psionic draining","Psionics, spell immunity, &amp; +1 or better weapon to hit",Nil,M (6' tall),Fanatic (17-18),"16,000"
"Lich, Suel",Any,Very rare,Solitary,Any,,Supra-genius (19-20),"P,Q (A)",Neutral evil,1,As host (7),As host (12),15+,16,1d10,1 touch + paralysis,"Death gaze (under 3 HD paralyzed if save), paralysis touch, ignores armor, touch destroys items","+1 or better weauon to hit; immune to 1st and 2nd lv1 spells, mind-affecting spells, and death magic",1% per Hit Die,M (5-6' tall),Fanatic (17-18),"10,000 + 1,000/level above 15th"
Lillend,"Ysgard, Arborea, Limbo",Rare,Family,Day,Omnivore,High (13-14),A,Chaotic neutral or chaotic good,2d6,3,"9, Fl 27 (C), Sw 15",7+14,11,1 tail and 1 weapon,2d6 and by weapon type,"Dropping in flight, spells, crush","Spells, immunities, magical weapon to hit",25%,L (human torso with 20' body),Champion (15-16),"9,000"
Living Steel,Subterranean,Very rare,Solitary,Any,Metal,Average (8-10),See below,Neutral,1,-2,"12, Sw in metal 36",10,11,2,1d10 (&times;2),See below,See below,20%,M (6' tall),Fearless (19-20),"5,000"
Living Wall,Any,Very Rare,Solitary,Any,Assimilation (see below),Variable (3-18),Variable,Chaotic evil,1,8 (Base),Nil,8 (Base),Variable,Variable,Variable,See below,See below,20%,L to G+ (Rectangular area),Fearless (20),"2,000 to 100,000+"
"Lizard, Subterranean (Toril)",Any,Common (subterranean); rare (surface),Solitary or packs,Any,Omnivore,Low (5-7),Q (stomach) + whatever carried,(Lawful) neutral,1-4 (domesticated: 1-20),3,"9, Sw 15",8,13,1,12-Feb,Nil,See below,Nil,"H (15'+ long, tail an additional 8-12')",Elite (13),"1,400"
Locathah,Tropical and subtropical/Coastal waters,Rare,Clan,Any,Omnivore,Very (11-12),A,Neutral,20-200,6,"1, Sw 12",2,19,1,By weapon,Nil,Nil,Nil,M (5'+ tall),Average (9),35
Lock Lurker,Any land,Rare,Solitary,Any,Carnivore,Low (5-7),Nil,Neutral,1,3,9,1+3,19,1,1 (bite) or 1d4+5 (sting),Paralyzing venom,Partial etherealness,Nil,"T (1&rdquo; diameter, 1&rdquo;-long tail)",Elite (13-14),175
Loxo,Temperate or tropical grasslands,Very rare,Herd,Day,Herbivore,Low to exceptional (5-16),U (Z),Neutral,22190,6,12,4+4,15,2,2-12/2-12 or by weapon,"Trample, berserker rage",Possible spell use,Nil,L (8' tall),Champion (15),"650<br>Fithik: 975<br>Lox-fithik: 2,000<br>Tunnuk: Varies"
Lumineaux,Phlogiston,Very rare,Solitary,Any,Special,Exceptional (15-16),Nil,Unknown,45293,2,18,20,15,1 or 3,See below,See below,See below,50%,G,Fanatic (17),"9,000"
Lurker,Subterranean,Uncommon,Solitary,Any,Omnivore,Non- (0),"C,Y",Neutral,1 (1-4),6,"1, Fl 9 (B)",10,11,1,6-Jan,See below,Nil,Nil,H (20' diam.),Steady (11),"2,000"
"Lurker, Shadow",Subterranean,Rare,Solitary,Night,Special,Low (5-7),Nil,Chaotic evil,1,4,"3, F19 (B)",5+3,15,1,2d4,Strength drain,+1 or better weapon to hit,Nil,H (20' square),Champion (15),"1,400"
